<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;
GLDRUB_TOM;60;260112;90000;11463;11463;11463;11463;788;
GLDRUB_TOM;60;260112;100000;11468;11615;11427;11590;161655;
GLDRUB_TOM;60;260112;110000;11589.9;11600;11562.9;11592;30406;
GLDRUB_TOM;60;260112;120000;11592;11592.3;11554;11575;14917;
GLDRUB_TOM;60;260112;130000;11575;11585;11555;11555;29876;
GLDRUB_TOM;60;260112;140000;11559.9;11559.9;11532.7;11549.4;11127;
GLDRUB_TOM;60;260112;150000;11552.4;11581;11533.9;11579.8;40123;
GLDRUB_TOM;60;260112;160000;11577.6;11645.4;11575;11643;34277;
GLDRUB_TOM;60;260112;170000;11640.9;11641;11569.4;11609.4;31348;
GLDRUB_TOM;60;260112;180000;11600;11668;11599.4;11665;7006;
GLDRUB_TOM;60;260113;90000;11600;11600;11600;11600;558;
GLDRUB_TOM;60;260113;100000;11600;11606.7;11508;11524;97733;
